name, hex
CHN_AUTARKY_DAY 0x21
CHN_AUTARKY_MONTH 0x2d
CHN_AUTARKY_YEAR 0x39
CHN_COUNT 0x47
CHN_EAC_DAY 0x1c
CHN_EAC_DAY_OLD 0x3e
CHN_EAC_MONTH 0x28
CHN_EAC_OLD 0x3d
CHN_EAC_YEAR 0x34
CHN_EDC_A_DAY 0x19
CHN_EDC_A_MONTH 0x25
CHN_EDC_A_YEAR 0x31
CHN_EDC_B_DAY 0x1a
CHN_EDC_B_MONTH 0x26
CHN_EDC_B_YEAR 0x32
CHN_EDC_DAY 0x1b
CHN_EDC_MONTH 0x27
CHN_EDC_YEAR 0x33
CHN_EEXT_DAY 0x24
CHN_EEXT_MONTH 0x30
CHN_EEXT_YEAR 0x3c
CHN_EG_FEED_DAY 0x1f
CHN_EG_FEED_MONTH 0x2b
CHN_EG_FEED_YEAR 0x37
CHN_EG_LOAD_DAY 0x20
CHN_EG_LOAD_MONTH 0x2c
CHN_EG_LOAD_YEAR 0x38
CHN_ELOAD_DAY 0x1e
CHN_ELOAD_MONTH 0x2a
CHN_ELOAD_SUM_DAY 0x1d
CHN_ELOAD_SUM_MONTH 0x29
CHN_ELOAD_SUM_YEAR 0x35
CHN_ELOAD_YEAR 0x36
CHN_IAC 0x43
CHN_IDC 0x44
CHN_IRRAD 0x42
CHN_PAC 0x8
CHN_PAC_1 0x5
CHN_PAC_2 0x6
CHN_PAC_3 0x7
CHN_PAC_MAX 0x46
CHN_PAC_MIN 0x45
CHN_PBAT 0xf
CHN_PDC 0x2
CHN_PDC_A 0x0
CHN_PDC_B 0x1
CHN_PEXT 0x18
CHN_PG 0x17
CHN_PG_FEED 0x15
CHN_PG_LOAD 0x16
CHN_PLOAD 0x14
CHN_PLOAD_SUM 0x13
CHN_SELFCONSUMWH_DAY 0x23
CHN_SELFCONSUMWH_MONTH 0x2f
CHN_SELFCONSUMWH_YEAR 0x3b
CHN_SELFCONSUM_DAY 0x22
CHN_SELFCONSUM_MONTH 0x2e
CHN_SELFCONSUM_YEAR 0x3a
CHN_SOC 0x11
CHN_SOC_TARG 0x12
CHN_TEMP 0xc
CHN_TEMP2 0xd
CHN_TEMP_BAT 0xe
CHN_UAC_1 0x9
CHN_UAC_2 0xa
CHN_UAC_3 0xb
CHN_UBAT 0x10
CHN_UDC_A 0x3
CHN_UDC_B 0x4
CHN_UL12 0x3f
CHN_UL23 0x40
CHN_UL31 0x41
DATA_LOG_REQUEST_DAY 0x0
DATA_LOG_REQUEST_ERROR 0x0
DATA_LOG_REQUEST_MINUTES 0x0
DATA_LOG_REQUEST_MONTH 0x0
DATA_LOG_REQUEST_YEAR 0x0
FLASH_PARAMS_STATUS_FLASH_DONE 0x1
FLASH_PARAMS_STATUS_FLASH_MSG_FAILS 0x3
FLASH_PARAMS_STATUS_FLASH_MSG_OK 0x2
FLASH_PARAMS_STATUS_INIT 0x0
FLASH_PARAMS_STATUS_NONE -0x1
MY_PERMISSIONS_REQUEST_READ_CONTACTS 0x86
PASSWORD_LEVEL_0 0x0
PASSWORD_LEVEL_1 0x1
PASSWORD_LEVEL_2 0x2
PASSWORD_LEVEL_3 0x3
REQUEST_LOCATION 0xc7
SELECT_BIN_EXPORT_FILE_REQUEST 0x3
SELECT_EXPORT_DATA_LOG_FILE_REQUEST 0x5
SELECT_JSON_FILE_REQUEST 0x1
SELECT_PRM_EXPORT_FILE_REQUEST 0x2
SELECT_PRM_IMPORT_FILE_REQUEST 0x4
SELECT_SAVE_PROTOCOL_FILE_REQUEST 0x6
SELECT_UPDATE_BMS_REQUEST 0x7
SELECT_UPDATE_FILE_REQUEST 0x0
